date,year,data_type,cut,loc,rep,blk,row,rng,plant_no,name,plant_id,plant_name,check,plot,value,id_by_plot,id_by_plant_aug
08_17_17,2017,VIG,6,ALF16,2,4,10,7,5,CASIA,7_10_5,ALF16_7_10_5_CASIA,Test,7_10,0.18,ALF16_7_10_CASIA,ALF16_7_10_5_CASIA
08_17_17,2017,VIG,6,ALF16,1,4,6,8,4,CASIA,8_6_4,ALF16_8_6_4_CASIA,Test,8_6,0.18,ALF16_8_6_CASIA,ALF16_8_6_4_CASIA
07_14_17,2017,VIG,5,ALF16,1,4,6,8,4,CASIA,8_6_4,ALF16_8_6_4_CASIA,Test,8_6,0.1875,ALF16_8_6_CASIA,ALF16_8_6_4_CASIA
08_17_17,2017,VIG,6,ALF16,4,1,20,2,5,SIBR,2_20_5,ALF16_2_20_5_SIBR,Test,2_20,0.1895,ALF16_2_20_SIBR,ALF16_2_20_5_SIBR
08_17_17,2017,VIG,6,ALF16,4,1,22,2,4,SIBR,2_22_4,ALF16_2_22_4_SIBR,Test,2_22,0.1895,ALF16_2_22_SIBR,ALF16_2_22_4_SIBR
08_17_17,2017,VIG,6,ALF16,4,2,20,3,6,SIBR,3_20_6,ALF16_3_20_6_SIBR,Test,3_20,0.1895,ALF16_3_20_SIBR,ALF16_3_20_6_SIBR
08_17_17,2017,VIG,6,ALF16,4,2,22,3,5,CASIA,3_22_5,ALF16_3_22_5_CASIA,Test,3_22,0.1895,ALF16_3_22_CASIA,ALF16_3_22_5_CASIA
08_17_17,2017,VIG,6,ALF16,4,2,22,4,4,EURO,4_22_4,ALF16_4_22_4_EURO,Test,4_22,0.1895,ALF16_4_22_EURO,ALF16_4_22_4_EURO
08_17_17,2017,VIG,6,ALF16,4,2,24,4,1,SIBR,4_24_1,ALF16_4_24_1_SIBR,Test,4_24,0.1895,ALF16_4_24_SIBR,ALF16_4_24_1_SIBR
08_17_17,2017,VIG,6,ALF16,4,2,24,4,4,SIBR,4_24_4,ALF16_4_24_4_SIBR,Test,4_24,0.1895,ALF16_4_24_SIBR,ALF16_4_24_4_SIBR
08_17_17,2017,VIG,6,ALF16,4,2,24,4,5,SIBR,4_24_5,ALF16_4_24_5_SIBR,Test,4_24,0.1895,ALF16_4_24_SIBR,ALF16_4_24_5_SIBR
08_17_17,2017,VIG,6,ALF16,4,2,24,4,6,SIBR,4_24_6,ALF16_4_24_6_SIBR,Test,4_24,0.1895,ALF16_4_24_SIBR,ALF16_4_24_6_SIBR
08_17_17,2017,VIG,6,ALF16,4,3,21,5,5,SIBR,5_21_5,ALF16_5_21_5_SIBR,Test,5_21,0.1895,ALF16_5_21_SIBR,ALF16_5_21_5_SIBR
08_17_17,2017,VIG,6,ALF16,4,3,20,6,2,EURO,6_20_2,ALF16_6_20_2_EURO,Test,6_20,0.1895,ALF16_6_20_EURO,ALF16_6_20_2_EURO
08_17_17,2017,VIG,6,ALF16,4,4,21,7,4,EURO,7_21_4,ALF16_7_21_4_EURO,Test,7_21,0.1895,ALF16_7_21_EURO,ALF16_7_21_4_EURO
08_17_17,2017,VIG,6,ALF16,4,4,24,8,1,CASIA,8_24_1,ALF16_8_24_1_CASIA,Test,8_24,0.1895,ALF16_8_24_CASIA,ALF16_8_24_1_CASIA
10_21_16,2016,VIG,3,ALF16,2,1,12,2,6,CASIA,2_12_6,ALF16_2_12_6_CASIA,Test,2_12,0.2118,ALF16_2_12_CASIA,ALF16_2_12_6_CASIA
10_21_16,2016,VIG,3,ALF16,3,1,13,2,1,OTTM,2_13_1,ALF16_2_13_1_OTTM,Test,2_13,0.2118,ALF16_2_13_OTTM,ALF16_2_13_1_OTTM
10_21_16,2016,VIG,3,ALF16,3,1,15,2,1,CASIA,2_15_1,ALF16_2_15_1_CASIA,Test,2_15,0.2118,ALF16_2_15_CASIA,ALF16_2_15_1_CASIA
10_21_16,2016,VIG,3,ALF16,3,1,15,2,2,CASIA,2_15_2,ALF16_2_15_2_CASIA,Test,2_15,0.2118,ALF16_2_15_CASIA,ALF16_2_15_2_CASIA
10_21_16,2016,VIG,3,ALF16,3,1,18,2,1,SIBR,2_18_1,ALF16_2_18_1_SIBR,Test,2_18,0.2118,ALF16_2_18_SIBR,ALF16_2_18_1_SIBR
10_21_16,2016,VIG,3,ALF16,1,2,1,3,5,OTTM,3_1_5,ALF16_3_1_5_OTTM,Test,3_1,0.2118,ALF16_3_1_OTTM,ALF16_3_1_5_OTTM
10_21_16,2016,VIG,3,ALF16,3,2,14,3,1,OTTM,3_14_1,ALF16_3_14_1_OTTM,Test,3_14,0.2118,ALF16_3_14_OTTM,ALF16_3_14_1_OTTM
10_21_16,2016,VIG,3,ALF16,3,2,17,3,3,SIBR,3_17_3,ALF16_3_17_3_SIBR,Test,3_17,0.2118,ALF16_3_17_SIBR,ALF16_3_17_3_SIBR
10_21_16,2016,VIG,3,ALF16,3,2,18,4,4,SIBR,4_18_4,ALF16_4_18_4_SIBR,Test,4_18,0.2118,ALF16_4_18_SIBR,ALF16_4_18_4_SIBR
10_21_16,2016,VIG,3,ALF16,3,2,18,4,6,SIBR,4_18_6,ALF16_4_18_6_SIBR,Test,4_18,0.2118,ALF16_4_18_SIBR,ALF16_4_18_6_SIBR
10_21_16,2016,VIG,3,ALF16,2,3,10,5,5,EURO,5_10_5,ALF16_5_10_5_EURO,Test,5_10,0.2118,ALF16_5_10_EURO,ALF16_5_10_5_EURO
10_21_16,2016,VIG,3,ALF16,2,3,12,5,5,CASIA,5_12_5,ALF16_5_12_5_CASIA,Test,5_12,0.2118,ALF16_5_12_CASIA,ALF16_5_12_5_CASIA
10_21_16,2016,VIG,3,ALF16,3,3,15,5,3,CASIA,5_15_3,ALF16_5_15_3_CASIA,Test,5_15,0.2118,ALF16_5_15_CASIA,ALF16_5_15_3_CASIA
10_21_16,2016,VIG,3,ALF16,3,3,18,5,1,SIBR,5_18_1,ALF16_5_18_1_SIBR,Test,5_18,0.2118,ALF16_5_18_SIBR,ALF16_5_18_1_SIBR
10_21_16,2016,VIG,3,ALF16,2,3,8,5,1,SIBR,5_8_1,ALF16_5_8_1_SIBR,Test,5_8,0.2118,ALF16_5_8_SIBR,ALF16_5_8_1_SIBR
10_21_16,2016,VIG,3,ALF16,3,4,15,7,2,SIBR,7_15_2,ALF16_7_15_2_SIBR,Test,7_15,0.2118,ALF16_7_15_SIBR,ALF16_7_15_2_SIBR
10_21_16,2016,VIG,3,ALF16,3,4,15,8,5,SIBR,8_15_5,ALF16_8_15_5_SIBR,Test,8_15,0.2118,ALF16_8_15_SIBR,ALF16_8_15_5_SIBR
10_21_16,2016,VIG,3,ALF16,2,4,7,8,1,CASIA,8_7_1,ALF16_8_7_1_CASIA,Test,8_7,0.2118,ALF16_8_7_CASIA,ALF16_8_7_1_CASIA
10_04_17,2017,VIG,7,ALF16,1,1,1,1,5,OTTM,1_1_5,ALF16_1_1_5_OTTM,Test,1_1,0.225,ALF16_1_1_OTTM,ALF16_1_1_5_OTTM
10_04_17,2017,VIG,7,ALF16,2,1,10,1,1,OTTM,1_10_1,ALF16_1_10_1_OTTM,Test,1_10,0.225,ALF16_1_10_OTTM,ALF16_1_10_1_OTTM
10_04_17,2017,VIG,7,ALF16,2,1,12,1,2,EURO,1_12_2,ALF16_1_12_2_EURO,Test,1_12,0.225,ALF16_1_12_EURO,ALF16_1_12_2_EURO
10_04_17,2017,VIG,7,ALF16,1,1,4,1,5,EURO,1_4_5,ALF16_1_4_5_EURO,Test,1_4,0.225,ALF16_1_4_EURO,ALF16_1_4_5_EURO
10_04_17,2017,VIG,7,ALF16,1,1,5,1,3,SIBR,1_5_3,ALF16_1_5_3_SIBR,Test,1_5,0.225,ALF16_1_5_SIBR,ALF16_1_5_3_SIBR
10_21_16,2016,VIG,3,ALF16,4,1,20,2,2,SIBR,2_20_2,ALF16_2_20_2_SIBR,Test,2_20,0.225,ALF16_2_20_SIBR,ALF16_2_20_2_SIBR
10_21_16,2016,VIG,3,ALF16,4,1,21,2,1,EURO,2_21_1,ALF16_2_21_1_EURO,Test,2_21,0.225,ALF16_2_21_EURO,ALF16_2_21_1_EURO
10_21_16,2016,VIG,3,ALF16,4,1,22,2,1,SIBR,2_22_1,ALF16_2_22_1_SIBR,Test,2_22,0.225,ALF16_2_22_SIBR,ALF16_2_22_1_SIBR
10_21_16,2016,VIG,3,ALF16,4,1,22,2,3,SIBR,2_22_3,ALF16_2_22_3_SIBR,Test,2_22,0.225,ALF16_2_22_SIBR,ALF16_2_22_3_SIBR
10_21_16,2016,VIG,3,ALF16,4,1,22,2,6,SIBR,2_22_6,ALF16_2_22_6_SIBR,Test,2_22,0.225,ALF16_2_22_SIBR,ALF16_2_22_6_SIBR
05_16_17,2017,VIG,4,ALF16,2,2,10,3,1,EURO,3_10_1,ALF16_3_10_1_EURO,Test,3_10,0.225,ALF16_3_10_EURO,ALF16_3_10_1_EURO
10_04_17,2017,VIG,7,ALF16,2,2,10,3,1,EURO,3_10_1,ALF16_3_10_1_EURO,Test,3_10,0.225,ALF16_3_10_EURO,ALF16_3_10_1_EURO
10_04_17,2017,VIG,7,ALF16,2,2,10,3,6,EURO,3_10_6,ALF16_3_10_6_EURO,Test,3_10,0.225,ALF16_3_10_EURO,ALF16_3_10_6_EURO
05_16_17,2017,VIG,4,ALF16,4,2,23,3,5,EURO,3_23_5,ALF16_3_23_5_EURO,Test,3_23,0.225,ALF16_3_23_EURO,ALF16_3_23_5_EURO
10_21_16,2016,VIG,3,ALF16,4,2,23,3,5,EURO,3_23_5,ALF16_3_23_5_EURO,Test,3_23,0.225,ALF16_3_23_EURO,ALF16_3_23_5_EURO
10_04_17,2017,VIG,7,ALF16,1,2,3,3,2,CASIA,3_3_2,ALF16_3_3_2_CASIA,Test,3_3,0.225,ALF16_3_3_CASIA,ALF16_3_3_2_CASIA
10_04_17,2017,VIG,7,ALF16,1,2,5,3,1,SIBR,3_5_1,ALF16_3_5_1_SIBR,Test,3_5,0.225,ALF16_3_5_SIBR,ALF16_3_5_1_SIBR
10_04_17,2017,VIG,7,ALF16,4,2,24,4,1,SIBR,4_24_1,ALF16_4_24_1_SIBR,Test,4_24,0.225,ALF16_4_24_SIBR,ALF16_4_24_1_SIBR
10_21_16,2016,VIG,3,ALF16,4,2,24,4,4,SIBR,4_24_4,ALF16_4_24_4_SIBR,Test,4_24,0.225,ALF16_4_24_SIBR,ALF16_4_24_4_SIBR
10_04_17,2017,VIG,7,ALF16,1,2,5,4,1,CASIA,4_5_1,ALF16_4_5_1_CASIA,Test,4_5,0.225,ALF16_4_5_CASIA,ALF16_4_5_1_CASIA
10_04_17,2017,VIG,7,ALF16,1,2,5,4,3,CASIA,4_5_3,ALF16_4_5_3_CASIA,Test,4_5,0.225,ALF16_4_5_CASIA,ALF16_4_5_3_CASIA
10_04_17,2017,VIG,7,ALF16,1,3,1,5,2,SIBR,5_1_2,ALF16_5_1_2_SIBR,Test,5_1,0.225,ALF16_5_1_SIBR,ALF16_5_1_2_SIBR
10_04_17,2017,VIG,7,ALF16,2,3,12,5,6,CASIA,5_12_6,ALF16_5_12_6_CASIA,Test,5_12,0.225,ALF16_5_12_CASIA,ALF16_5_12_6_CASIA
