date,data_type,cut,Loc,rep,blk,row,rng,plant_no,name,plant_id,plant_names,plot,value,id_by_plot,id_by_plant_aug
07_12_17,HGT,1,ALF16,1,1,2,1,1,SIBR,1_2_1,ALF16_1_2_1_SIBR,1_2,25,ALF16_1_2_SIBR,ALF16_1_2_1_SIBR
07_12_17,HGT,1,ALF16,1,1,2,1,2,SIBR,1_2_2,ALF16_1_2_2_SIBR,1_2,35,ALF16_1_2_SIBR,ALF16_1_2_2_SIBR
07_12_17,HGT,1,ALF16,1,1,2,1,3,SIBR,1_2_3,ALF16_1_2_3_SIBR,1_2,45,ALF16_1_2_SIBR,ALF16_1_2_3_SIBR
07_12_17,HGT,1,ALF16,1,1,2,1,4,SIBR,1_2_4,ALF16_1_2_4_SIBR,1_2,35,ALF16_1_2_SIBR,ALF16_1_2_4_SIBR
07_12_17,HGT,1,ALF16,1,1,2,1,5,SIBR,1_2_5,ALF16_1_2_5_SIBR,1_2,45,ALF16_1_2_SIBR,ALF16_1_2_5_SIBR
07_12_17,HGT,1,ALF16,1,1,2,1,6,SIBR,1_2_6,ALF16_1_2_6_SIBR,1_2,25,ALF16_1_2_SIBR,ALF16_1_2_6_SIBR
08_18_17,HGT,2,ALF16,1,1,2,1,1,SIBR,1_2_1,ALF16_1_2_1_SIBR,1_2,15,ALF16_1_2_SIBR,ALF16_1_2_1_SIBR
08_18_17,HGT,2,ALF16,1,1,2,1,2,SIBR,1_2_2,ALF16_1_2_2_SIBR,1_2,27.5,ALF16_1_2_SIBR,ALF16_1_2_2_SIBR
08_18_17,HGT,2,ALF16,1,1,2,1,3,SIBR,1_2_3,ALF16_1_2_3_SIBR,1_2,40,ALF16_1_2_SIBR,ALF16_1_2_3_SIBR
08_18_17,HGT,2,ALF16,1,1,2,1,4,SIBR,1_2_4,ALF16_1_2_4_SIBR,1_2,25,ALF16_1_2_SIBR,ALF16_1_2_4_SIBR
08_18_17,HGT,2,ALF16,1,1,2,1,5,SIBR,1_2_5,ALF16_1_2_5_SIBR,1_2,45,ALF16_1_2_SIBR,ALF16_1_2_5_SIBR
